,ex_day_obs,filter_status,count,filter,status
111,20250402,OG550_65mm_1_miss,10,OG550_65mm_1,miss
112,20250402,OG550_65mm_1_ok,73,OG550_65mm_1,ok
113,20250402,empty_miss,17,empty,miss
114,20250402,empty_ok,66,empty,ok
115,20250403,OG550_65mm_1_miss,15,OG550_65mm_1,miss
116,20250403,OG550_65mm_1_ok,53,OG550_65mm_1,ok
117,20250403,empty_miss,16,empty,miss
118,20250403,empty_ok,53,empty,ok
119,20250407,OG550_65mm_1_miss,11,OG550_65mm_1,miss
120,20250407,OG550_65mm_1_ok,75,OG550_65mm_1,ok
121,20250407,empty_miss,14,empty,miss
122,20250407,empty_ok,72,empty,ok
123,20250622,OG550_65mm_1_miss,3,OG550_65mm_1,miss
124,20250622,empty_miss,12,empty,miss
125,20250622,empty_ok,2,empty,ok
126,20250623,OG550_65mm_1_ok,27,OG550_65mm_1,ok
127,20250623,empty_ok,28,empty,ok
128,20250624,empty_ok,4,empty,ok
129,20250701,OG550_65mm_1_ok,31,OG550_65mm_1,ok
130,20250701,empty_ok,31,empty,ok
131,20250702,OG550_65mm_1_miss,1,OG550_65mm_1,miss
132,20250702,OG550_65mm_1_ok,42,OG550_65mm_1,ok
133,20250702,empty_miss,2,empty,miss
134,20250702,empty_ok,42,empty,ok
135,20250703,OG550_65mm_1_ok,27,OG550_65mm_1,ok
136,20250703,empty_miss,1,empty,miss
137,20250703,empty_ok,26,empty,ok
138,20250704,OG550_65mm_1_miss,2,OG550_65mm_1,miss
139,20250704,OG550_65mm_1_ok,24,OG550_65mm_1,ok
140,20250704,empty_miss,2,empty,miss
141,20250704,empty_ok,24,empty,ok
142,20250707,OG550_65mm_1_miss,1,OG550_65mm_1,miss
143,20250707,OG550_65mm_1_ok,62,OG550_65mm_1,ok
144,20250707,empty_ok,65,empty,ok
145,20250708,OG550_65mm_1_ok,62,OG550_65mm_1,ok
146,20250708,empty_miss,1,empty,miss
147,20250708,empty_ok,61,empty,ok
148,20250709,OG550_65mm_1_miss,1,OG550_65mm_1,miss
149,20250709,OG550_65mm_1_ok,80,OG550_65mm_1,ok
150,20250709,empty_miss,1,empty,miss
151,20250709,empty_ok,80,empty,ok
152,20250710,OG550_65mm_1_miss,2,OG550_65mm_1,miss
153,20250710,OG550_65mm_1_ok,70,OG550_65mm_1,ok
154,20250710,empty_miss,7,empty,miss
155,20250710,empty_ok,65,empty,ok
156,20250711,OG550_65mm_1_miss,1,OG550_65mm_1,miss
157,20250711,OG550_65mm_1_ok,70,OG550_65mm_1,ok
158,20250711,empty_miss,8,empty,miss
159,20250711,empty_ok,63,empty,ok
160,20250716,OG550_65mm_1_ok,17,OG550_65mm_1,ok
161,20250716,empty_ok,17,empty,ok
162,20250717,OG550_65mm_1_ok,77,OG550_65mm_1,ok
163,20250717,empty_miss,2,empty,miss
164,20250717,empty_ok,75,empty,ok
165,20250718,OG550_65mm_1_ok,79,OG550_65mm_1,ok
166,20250718,empty_miss,76,empty,miss
167,20250718,empty_ok,3,empty,ok
168,20250721,OG550_65mm_1_ok,63,OG550_65mm_1,ok
169,20250721,empty_miss,39,empty,miss
170,20250721,empty_ok,24,empty,ok
171,20250722,OG550_65mm_1_miss,1,OG550_65mm_1,miss
172,20250722,OG550_65mm_1_ok,77,OG550_65mm_1,ok
173,20250722,empty_miss,35,empty,miss
174,20250722,empty_ok,43,empty,ok
175,20250723,OG550_65mm_1_ok,84,OG550_65mm_1,ok
176,20250723,empty_miss,66,empty,miss
177,20250723,empty_ok,18,empty,ok
178,20250724,OG550_65mm_1_ok,67,OG550_65mm_1,ok
179,20250724,empty_miss,56,empty,miss
180,20250724,empty_ok,11,empty,ok
181,20250725,OG550_65mm_1_ok,54,OG550_65mm_1,ok
182,20250725,empty_miss,18,empty,miss
183,20250725,empty_ok,36,empty,ok
184,20250728,OG550_65mm_1_miss,2,OG550_65mm_1,miss
185,20250728,OG550_65mm_1_ok,89,OG550_65mm_1,ok
186,20250728,empty_miss,29,empty,miss
187,20250728,empty_ok,62,empty,ok
188,20250806,OG550_65mm_1_miss,46,OG550_65mm_1,miss
189,20250806,OG550_65mm_1_ok,125,OG550_65mm_1,ok
190,20250807,OG550_65mm_1_miss,77,OG550_65mm_1,miss
191,20250807,OG550_65mm_1_ok,154,OG550_65mm_1,ok
192,20250808,OG550_65mm_1_miss,66,OG550_65mm_1,miss
193,20250808,OG550_65mm_1_ok,171,OG550_65mm_1,ok
194,20250809,OG550_65mm_1_miss,21,OG550_65mm_1,miss
195,20250809,OG550_65mm_1_ok,57,OG550_65mm_1,ok
196,20250810,OG550_65mm_1_miss,54,OG550_65mm_1,miss
197,20250810,OG550_65mm_1_ok,117,OG550_65mm_1,ok
198,20250811,OG550_65mm_1_miss,56,OG550_65mm_1,miss
199,20250811,OG550_65mm_1_ok,139,OG550_65mm_1,ok
200,20250812,OG550_65mm_1_miss,18,OG550_65mm_1,miss
201,20250812,OG550_65mm_1_ok,58,OG550_65mm_1,ok
202,20250812,empty_miss,29,empty,miss
203,20250812,empty_ok,47,empty,ok
204,20250813,OG550_65mm_1_ok,30,OG550_65mm_1,ok
205,20250813,empty_miss,15,empty,miss
206,20250813,empty_ok,15,empty,ok
207,20250825,OG550_65mm_1_miss,14,OG550_65mm_1,miss
208,20250825,OG550_65mm_1_ok,40,OG550_65mm_1,ok
209,20250825,empty_miss,37,empty,miss
210,20250825,empty_ok,19,empty,ok
211,20250826,OG550_65mm_1_miss,17,OG550_65mm_1,miss
212,20250826,OG550_65mm_1_ok,59,OG550_65mm_1,ok
213,20250826,empty_miss,49,empty,miss
214,20250826,empty_ok,27,empty,ok
215,20250827,empty_miss,1,empty,miss
216,20250828,OG550_65mm_1_miss,5,OG550_65mm_1,miss
217,20250828,OG550_65mm_1_ok,54,OG550_65mm_1,ok
218,20250828,empty_miss,29,empty,miss
219,20250828,empty_ok,30,empty,ok
220,20250901,OG550_65mm_1_miss,17,OG550_65mm_1,miss
221,20250901,OG550_65mm_1_ok,59,OG550_65mm_1,ok
222,20250901,empty_miss,36,empty,miss
223,20250901,empty_ok,40,empty,ok
224,20250902,OG550_65mm_1_miss,12,OG550_65mm_1,miss
225,20250902,OG550_65mm_1_ok,50,OG550_65mm_1,ok
226,20250902,empty_miss,25,empty,miss
227,20250902,empty_ok,38,empty,ok
228,20250903,OG550_65mm_1_miss,16,OG550_65mm_1,miss
229,20250903,OG550_65mm_1_ok,55,OG550_65mm_1,ok
230,20250903,empty_miss,51,empty,miss
231,20250903,empty_ok,20,empty,ok
232,20250904,OG550_65mm_1_miss,19,OG550_65mm_1,miss
233,20250904,OG550_65mm_1_ok,51,OG550_65mm_1,ok
234,20250904,empty_miss,50,empty,miss
235,20250904,empty_ok,20,empty,ok
236,20250905,OG550_65mm_1_miss,15,OG550_65mm_1,miss
237,20250905,OG550_65mm_1_ok,61,OG550_65mm_1,ok
238,20250905,empty_miss,42,empty,miss
239,20250905,empty_ok,34,empty,ok
240,20250906,OG550_65mm_1_miss,6,OG550_65mm_1,miss
241,20250906,OG550_65mm_1_ok,72,OG550_65mm_1,ok
242,20250906,empty_miss,49,empty,miss
243,20250906,empty_ok,29,empty,ok
244,20250907,OG550_65mm_1_miss,5,OG550_65mm_1,miss
245,20250907,OG550_65mm_1_ok,44,OG550_65mm_1,ok
246,20250907,empty_miss,31,empty,miss
247,20250907,empty_ok,18,empty,ok
248,20250908,OG550_65mm_1_miss,2,OG550_65mm_1,miss
249,20250908,OG550_65mm_1_ok,80,OG550_65mm_1,ok
250,20250908,empty_miss,28,empty,miss
251,20250908,empty_ok,54,empty,ok
252,20250909,OG550_65mm_1_ok,37,OG550_65mm_1,ok
253,20250909,empty_miss,24,empty,miss
254,20250909,empty_ok,13,empty,ok
255,20250910,OG550_65mm_1_miss,2,OG550_65mm_1,miss
256,20250910,OG550_65mm_1_ok,83,OG550_65mm_1,ok
257,20250910,empty_miss,67,empty,miss
258,20250910,empty_ok,18,empty,ok
259,20250911,OG550_65mm_1_ok,67,OG550_65mm_1,ok
260,20250911,empty_miss,55,empty,miss
261,20250911,empty_ok,12,empty,ok
262,20250912,OG550_65mm_1_miss,18,OG550_65mm_1,miss
263,20250912,OG550_65mm_1_ok,47,OG550_65mm_1,ok
264,20250912,empty_miss,26,empty,miss
265,20250912,empty_ok,39,empty,ok
266,20250913,OG550_65mm_1_ok,73,OG550_65mm_1,ok
267,20250913,empty_miss,36,empty,miss
268,20250913,empty_ok,37,empty,ok
269,20250914,OG550_65mm_1_ok,58,OG550_65mm_1,ok
270,20250914,empty_miss,18,empty,miss
271,20250914,empty_ok,40,empty,ok
272,20250915,OG550_65mm_1_miss,1,OG550_65mm_1,miss
273,20250915,OG550_65mm_1_ok,72,OG550_65mm_1,ok
274,20250915,empty_miss,48,empty,miss
275,20250915,empty_ok,25,empty,ok
276,20250916,OG550_65mm_1_miss,1,OG550_65mm_1,miss
277,20250916,OG550_65mm_1_ok,76,OG550_65mm_1,ok
278,20250916,empty_miss,25,empty,miss
279,20250916,empty_ok,52,empty,ok
280,20250917,OG550_65mm_1_ok,77,OG550_65mm_1,ok
281,20250917,empty_miss,49,empty,miss
282,20250917,empty_ok,28,empty,ok
283,20250918,OG550_65mm_1_miss,1,OG550_65mm_1,miss
284,20250918,OG550_65mm_1_ok,79,OG550_65mm_1,ok
285,20250918,empty_miss,57,empty,miss
286,20250918,empty_ok,23,empty,ok
287,20250919,OG550_65mm_1_miss,12,OG550_65mm_1,miss
288,20250919,OG550_65mm_1_ok,36,OG550_65mm_1,ok
289,20250919,empty_miss,22,empty,miss
290,20250919,empty_ok,26,empty,ok
291,20250920,OG550_65mm_1_miss,41,OG550_65mm_1,miss
292,20250920,empty_miss,41,empty,miss
