,sample_id,band,mean,median,sigma
0,0,u,21.07043090212634,21.07043090212634,0.007710548098620151
1,0,g,20.159505048635186,20.160451382573417,0.007909671587834916
2,0,r,19.77357925875203,19.774870592764195,0.008834552768769557
3,0,i,19.63741860623462,19.634176672048188,0.007377871657369089
4,0,z,19.599987574351513,19.596685757922785,0.009658000661817896
5,0,y,19.598213870967708,19.579474425554206,0.04417986686364643
6,1,u,20.55540740155226,20.55540740155226,0.0
7,1,g,18.52293245635191,18.524110975609496,0.006337486177642297
8,1,r,17.720737266312064,17.722599016630703,0.00531403975083998
9,1,i,17.444774370639706,17.444774370639706,0.0029347053154324954
10,1,z,17.342162956000855,17.343554243700538,0.003609760916007203
11,1,y,17.26578285251107,17.266873413980363,0.004339790763141405
12,2,u,21.739356579921076,21.732477725941123,0.01965340141562341
13,2,g,19.2956341337971,19.29593244421025,0.006315606439749692
14,2,r,17.992646037825416,17.991756488973067,0.004799901843482969
15,2,i,16.75522552658341,16.755480562343994,0.0044711832002620935
16,2,z,16.217050424406086,16.216354814774746,0.0038683965215414295
17,2,y,15.959305081712818,15.958690533689818,0.0028589345867342567
18,3,u,18.10239983870739,18.097335243349363,0.01035478856317875
19,3,g,16.138879772104804,16.138706479330445,0.0038360277778238913
20,3,r,15.368618913840209,15.368560944896382,0.005109506022110363
21,3,i,15.101407180305145,15.099201376489289,0.00430117203179843
22,3,z,14.991522920360602,14.990947186147082,0.003582705383172812
23,3,y,14.918858296811678,14.918315140366452,0.0015271357778338028
24,4,u,22.110642886200537,22.13289104754184,0.05779469989522711
25,4,g,21.30293760782866,21.302291509836678,0.014999382111530731
26,4,r,20.93201387340411,20.93075330891568,0.015838639798890632
27,4,i,20.784415093311484,20.784750989433448,0.019295967145439012
28,4,z,20.73849263373791,20.72936421673962,0.03449020727458209
29,4,y,20.776421878985747,20.73332147041159,0.07358876322339881
30,5,u,18.836916438096683,18.84208155249605,0.010826161646319924
31,5,g,17.752068716306432,17.751261944580563,0.0046676554813453765
32,5,r,17.341195730287893,17.341366625228755,0.004615558027451314
33,5,i,17.20034508939018,17.201866038815062,0.0037780982204004584
34,5,z,17.158631103001515,17.159348887167923,0.0038479749014753407
35,5,y,17.130070277223655,17.128306759408183,0.0057845231654469025
36,6,u,21.715489825697077,21.736209396722714,0.051732536112276815
37,6,g,20.63859429236221,20.638142114095107,0.011241997641740924
38,6,r,20.161498413827182,20.16260451795719,0.00967139982234388
39,6,i,19.977515656010414,19.979830096872355,0.010964612561806194
40,6,z,19.91702332245723,19.914413184872373,0.01397985733444875
41,6,y,19.861032511403593,19.87700964248735,0.03857018891949273
42,7,u,20.966526464306266,20.97180968419716,0.027329614017107297
43,7,g,19.81372255793294,19.81273046012179,0.007005903653258426
44,7,r,19.297331602590308,19.296435287501097,0.005574103145857763
45,7,i,19.10354072305215,19.10440563743321,0.005102019864598963
46,7,z,19.030576110842045,19.030286289462527,0.009606258925209004
47,7,y,18.994070975778435,18.99319276239062,0.02029687150901613
48,8,u,20.735710540611482,20.73828467404704,0.03980296015466854
49,8,g,19.39130432838235,19.39120694024019,0.0068038240079797115
50,8,r,18.802234189303817,18.80233180829666,0.004516592896051675
51,8,i,18.615502187376237,18.614873137312525,0.006436061905136125
52,8,z,18.672826705519352,18.673486946891412,0.0067540419624988555
53,8,y,18.64642689806067,18.644446623028966,0.017430086781304924
54,9,u,22.319553583048748,22.260528955218312,0.09581424539263234
55,9,g,19.812783892469945,19.81129991453048,0.00918855334156871
56,9,r,18.537705184296012,18.537771510432396,0.005380522689058185
57,9,i,17.227840467256552,17.230238432857114,0.004902532375379822
58,9,z,16.649874250899252,16.650164453037718,0.004651129893696526
59,9,y,16.367566867977803,16.367834045739247,0.001011655341793832
60,10,u,21.255612927645185,21.252236620438588,0.025141001562863453
61,10,g,20.821485192894695,20.8217115323322,0.014316354298738138
62,10,r,20.508252790531497,20.50656576444019,0.014704170112367809
63,10,i,20.315254888001085,20.319635883526665,0.009919727848518974
64,10,z,20.022473957493535,20.020249976897915,0.019045594358572067
65,10,y,19.942098240837304,19.942098240837304,0.0
66,11,u,21.72355589974485,21.722084980488617,0.048136733983827555
67,11,g,21.016394587286076,21.01325630526337,0.021029929232651127
68,11,r,20.81493359972341,20.81493359972341,0.04318301438034844
69,11,i,20.681569141432735,20.681569141432735,0.038782296298975893
70,11,z,20.67229074718216,20.68233672641403,0.01915056468344749
71,11,y,20.7822606361631,20.668905424183237,0.3978851947186543
72,12,u,23.14717712543043,23.14717712543043,0.0
73,12,g,22.43046038466985,22.431323651763385,0.05014033052658721
74,12,r,21.1239381873266,21.11104835059406,0.036768515986746755
75,12,i,19.659009768475464,19.657308496273444,0.01216059714176486
76,12,z,19.0052750021359,19.004920837281624,0.005276867584620415
77,12,y,18.680042531177275,18.682546287507236,0.01452417495968947
78,13,u,20.80976980641477,20.810716426837452,0.03544676281446679
