,mean,median,sigma,sigma_mad,sigma_iqr
OG550_65mm_1_diff,0.12049346124850363,0.11381472247285251,0.21212997373862666,0.06059183325420886,0.06207048898113092
empty_diff,-0.029798425680598758,-0.02995227823503488,0.2723989404923479,0.0926395527664059,0.09465472081621855
OG550_65mm_1_repinterp_ram,-0.0034092885165908347,-0.0027563808963341208,0.17213573820330766,0.08808483915748663,0.0879678953681892
empty_repinterp_ram,-0.0008169098933838261,-0.0038052040648601793,0.1940319551381698,0.12927506532204222,0.12926095698283216
OG550_65mm_1_repinterp_rum,-0.004988191645631776,-0.005797794178657223,0.18282118707120357,0.09580811887179114,0.09635475054807621
empty_repinterp_rum,-0.00035167690165931783,0.0004551915793178374,0.2559983856189819,0.14382626679417382,0.14515672056106174
OG550_65mm_1_repdiff_ram,-0.03539864259385823,-0.00785924881197464,0.3574796056089943,0.15004594786901881,0.1524257698369367
empty_repdiff_ram,-0.019903164780307788,-0.026216292565195642,0.4589127645842124,0.27769632381324355,0.2764461683251919
OG550_65mm_1_repdiff_rum,-0.03833518008376901,-0.014233238705753215,0.35116051857807173,0.1471892897763722,0.1470004603051336
empty_repdiff_rum,-0.028160073919704896,-0.03177661414482613,0.5165654519055581,0.28559797124895886,0.28803912306177093
