,mean,median,sigma,sigma_mad,sigma_iqr
OG550_65mm_1_diff,0.129031005670405,0.11825981783350181,0.43135606451273567,0.08332612931262612,0.08443579165425874
empty_diff,0.033154632548399676,-0.04941928647222049,1.2418174671799957,0.16478586236869494,0.1676533168316678
OG550_65mm_1_repinterp_ram,-0.0009533560175497424,-0.003629658371442135,0.4239538412438144,0.1270272530629095,0.12697231208228218
empty_repinterp_ram,0.0027289465080096767,-0.000989149832059777,0.8503719969784058,0.17601427396802777,0.17600234806952064
OG550_65mm_1_repinterp_rum,-0.0022672972229701377,-0.004389858391731116,0.47589060791363663,0.13274336260651745,0.13280835169358954
empty_repinterp_rum,0.002550824045287439,-6.822245273901961e-05,0.7847651059191503,0.18667945526054275,0.18725820163460175
OG550_65mm_1_repdiff_ram,-0.01756365219337083,-0.007063523989955411,0.6060786494459183,0.2040291131142703,0.203990333848479
empty_repdiff_ram,-0.02281252148973311,-0.016938932185987743,1.028653082773217,0.3196272827350126,0.32039240457486273
OG550_65mm_1_repdiff_rum,-0.0158660447033457,-0.010942535078201643,0.6121661092919173,0.21192151230326126,0.21227276639658632
empty_repdiff_rum,-0.02995377287599577,-0.019471252545397943,0.9494408845437712,0.32124364314792186,0.322541737118721
