,band,sigma_stat_px,sigma_fit_px,fwhm_px,fwhm_arcsec
0,u,2.01,3.25,7.66,1.53
1,g,1.8,2.79,6.58,1.32
2,r,1.72,2.65,6.24,1.25
3,i,1.62,2.45,5.76,1.15
4,z,1.74,2.56,6.02,1.2
5,y,1.94,2.75,6.48,1.3
