,band,sigma_stat_px,sigma_fit_px,fwhm_px,fwhm_arcsec
0,u,1.88,2.15,5.06,1.01
1,g,1.78,2.75,6.47,1.29
2,r,1.71,2.57,6.05,1.21
3,i,1.69,2.52,5.94,1.19
4,z,1.72,2.59,6.11,1.22
5,y,1.93,3.05,7.18,1.44
