,band,sigma_stat_px,sigma_fit_px,fwhm_px,fwhm_arcsec
0,u,2.0,3.61,8.5,1.7
1,g,1.81,2.61,6.15,1.23
2,r,1.75,2.57,6.05,1.21
3,i,1.62,2.2,5.19,1.04
4,z,1.74,2.48,5.84,1.17
5,y,1.92,2.54,5.98,1.2
