,band,sigma_stat_px,sigma_fit_px,fwhm_px,fwhm_arcsec
0,u,2.04,3.23,7.61,1.52
1,g,1.76,2.52,5.94,1.19
2,r,1.73,2.47,5.82,1.16
3,i,1.6,2.24,5.28,1.06
4,z,1.71,2.35,5.52,1.1
5,y,1.92,2.6,6.13,1.23
