,band,sigma_stat_px,sigma_fit_px,fwhm_px,fwhm_arcsec
0,u,2.08,3.33,7.85,1.57
1,g,1.81,2.87,6.77,1.35
2,r,1.74,2.75,6.48,1.3
3,i,1.63,2.46,5.8,1.16
4,z,1.73,2.7,6.37,1.27
5,y,1.94,2.89,6.8,1.36
