,band,sigma_stat_px,sigma_fit_px,fwhm_px,fwhm_arcsec
0,u,2.08,3.17,7.47,1.49
1,g,1.76,2.79,6.56,1.31
2,r,1.71,2.64,6.22,1.24
3,i,1.63,2.36,5.56,1.11
4,z,1.71,2.57,6.05,1.21
5,y,1.93,2.88,6.77,1.35
