,band,sigma_stat_px,sigma_fit_px,fwhm_px,fwhm_arcsec
0,u,2.11,3.34,7.87,1.57
1,g,1.78,2.77,6.53,1.31
2,r,1.71,2.68,6.31,1.26
3,i,1.6,2.37,5.58,1.12
4,z,1.71,2.59,6.09,1.22
5,y,1.96,2.91,6.86,1.37
