,band,sigma_stat_px,sigma_fit_px,fwhm_px,fwhm_arcsec
0,u,2.16,3.03,7.14,1.43
1,g,1.78,2.8,6.59,1.32
2,r,1.74,2.8,6.6,1.32
3,i,1.63,2.5,5.88,1.18
4,z,1.75,2.63,6.2,1.24
5,y,1.93,2.93,6.9,1.38
