,band,sigma_stat_px,sigma_fit_px,fwhm_px,fwhm_arcsec
0,u,2.01,3.27,7.7,1.54
1,g,1.74,2.78,6.54,1.31
2,r,1.71,2.72,6.41,1.28
3,i,1.6,2.35,5.53,1.11
4,z,1.72,2.65,6.24,1.25
5,y,1.89,2.94,6.91,1.38
