,mean,median,sigma,sigma_mad,sigma_iqr
OG550_65mm_1_diff,0.1366332298058121,0.11772582920819197,0.18387064856864133,0.07900501863887749,0.0806220208279904
empty_diff,-0.0016002531989877642,-0.04330379665034334,0.5209101554957862,0.13219804928169812,0.132273822062212
OG550_65mm_1_repinterp_ram,-0.0010887279958062882,-0.00371011532689014,0.2544343650087856,0.11892974912214624,0.11880207615820804
empty_repinterp_ram,-0.0007921782434961807,-0.000851349353506059,0.35418022306648583,0.16628699807263128,0.16622380692571911
OG550_65mm_1_repinterp_rum,-0.0017260779652304408,-0.0036649809031412683,0.301092936615078,0.12217834429376227,0.12187905721924303
empty_repinterp_rum,0.0005866280566943583,-0.0005963556640875556,0.4145285456346705,0.17284609446657764,0.17295020304267517
OG550_65mm_1_repdiff_ram,-0.013641293349727053,-0.007865346577732468,0.37321929168446744,0.19052879868039116,0.1895865170336659
empty_repdiff_ram,-0.03497237896343056,-0.019960583826776013,0.4985049119892729,0.30211161408635373,0.3005535525368761
OG550_65mm_1_repdiff_rum,-0.012977645313418116,-0.012131988896880053,0.4102359768984403,0.19282550539884424,0.19261203269711002
empty_repdiff_rum,-0.028265421132312073,-0.02394720909059389,0.5840667852548593,0.30300487757481265,0.3077886129424924
