,mean,median,sigma,sigma_mad,sigma_iqr
OG550_65mm_1_diff,0.1504294025113723,0.11615148169791467,0.5976272632122105,0.08894513395202785,0.09055955370019864
empty_diff,0.07010239023125836,-0.039243517473954936,1.063274775139178,0.14734793654182177,0.14507453183492364
OG550_65mm_1_repinterp_ram,-0.0032271423027462704,-0.00322208213802333,0.48908264184137884,0.13171128629423018,0.1314491142198343
empty_repinterp_ram,-0.0016397936523925365,-0.0017435075152769652,0.5520438799858671,0.17068901167152079,0.17050331758020174
OG550_65mm_1_repinterp_rum,-0.0011117015633485196,-0.0036046064627684726,0.6363726166942605,0.13936111511266602,0.13863715207490257
empty_repinterp_rum,-0.004335190957085332,-0.00015769330531134607,1.015980749068039,0.1887021497609479,0.18868033702404202
OG550_65mm_1_repdiff_ram,-0.013263979904998934,-0.0044152456862485145,0.6475878013425165,0.2074227563924673,0.20850171173955534
empty_repdiff_ram,-0.027050824689896103,-0.017206792956658834,0.6638940039859013,0.3140106128339312,0.3140543109086894
OG550_65mm_1_repdiff_rum,-0.009143689537951034,-0.009805773645026716,0.8085521190617215,0.22100958680870655,0.22049190624644066
empty_repdiff_rum,-0.03540950667908531,-0.021486415531078773,1.172539794998729,0.3212687459039544,0.3212156341578864
