,mean,median,sigma,sigma_mad,sigma_iqr
OG550_65mm_1_diff,0.13121518102235566,0.1135300922004262,0.6614777644328499,0.09314980250254506,0.09433821121277938
empty_diff,0.20599608507461314,-0.037215485626359346,1.7370830588827342,0.21158772913149407,0.21013411981320457
OG550_65mm_1_repinterp_ram,-0.003051643406613949,-0.0022233702118938936,0.5045363055809436,0.13558654980808968,0.13560839839398273
empty_repinterp_ram,-0.003658458368414974,-0.0010974933035563517,1.0024452180225418,0.19463092642319205,0.19449884037455634
OG550_65mm_1_repinterp_rum,0.0025920251010276597,-0.002998819815153486,0.6996986087637661,0.1448182843239547,0.14461224036643877
empty_repinterp_rum,-0.010292994523756475,0.0,1.4108952804201884,0.218595801969048,0.2189725144745246
OG550_65mm_1_repdiff_ram,-0.019018005261517073,-0.005948011216293514,0.6615627922082283,0.2123281787303456,0.21400059896417847
empty_repdiff_ram,-0.02702371691878843,-0.018694984588579988,1.1315035111710983,0.35888469560852243,0.35902070251533963
OG550_65mm_1_repdiff_rum,-0.01601842167402957,-0.01180567422208778,0.8788452614249976,0.2267168777161179,0.22732272128377914
empty_repdiff_rum,-0.03812668414435999,-0.01979903383845194,1.6478765974281377,0.36760881742123497,0.37045646453180164
